Dinner Foods
Wheat Roti
Brinjal sambhar
Chapati
Ragi/nachni roti
Plain Rice
Chicken curry
Dahi
Bajra roti
Multi grain roti
Sprouts Salad
Chana palak curry
Daal
Tomato cucumber raita
Chana lobia curry
Tinda sabzi
Aloo matar sabzi
Cabbage sabzi
Tofu
Bhindi Sabzi
Carrot cucumber salad
Chana Soyabean Bhaji
Chana curry
Millet and spinach khichdi
Stir fried mix vegetables
Cauliflower palya
Mix daal
Gobi matar sabzi
Millet khichdi
Chhole
Carrot tomato salad
Green salad
Soya chunk pulao
Chicken drumstick gravy
Paneer masala
Lauki sabzi
Soyabean Curry
Chicken tikka sandwich
Paneer vegetable wrap
Jowar roti
Veg Tofu Fried Rice
Paneer capsicum sabzi
Coconut Rice
Lemon rice
Brown rice
Dal Khichadi
Grilled paneer
Veg Clear Soup
Paneer Pulao
Paneer Fried Rice
Beetroot roti
Nachni Bhakri
Paneer Burji
Ragi balls
Bean salad
Kheera tamatar salad
Gavar sabzi
Bajri Bhakri
Baigan Sabzi
Beans palya
Capsicum lettuce salad
Beetroot Koshimbir
Matar Paneer
Egg curry
Banana stem salad
Egg bhurji
Coconut chickpea curry
Sprouts curry
Palak paneer
Methi roti
Drumstick rasam
Akki roti
Buttermilk
Grilled Chicken
Aloo methi sabzi
Roasted Papad
Roasted chicken
Dal palak
Lauki raita
Aaloo beans sabzi
Masooor Bhaji
Palak Khichdi
Tomato Koshimbir
Kobi Bhaji
Jowar Bhakri
Mix Veg Bhaji
Boiled soya chunks
Chickpea vegetable salad
Boiled Egg
Drumstick sambhar
Laal Math Bhaji
Methi Bhaji
Moong Bhaji
Harbhara Bhaji
Matar paratha
Usal
Tondli Bhaji
Bhopla bhaji
Karela Bhaji
Chavli Bhaji
Bhoplyachi Bhaji
Ambadi Bhaji
Kobichi Bhaji
Bell pepper sabzi
