Item,Serving,Calories,Carbs,Protein,Fat,Fiber,Food cause
Upma,1.5 katori,256.5,36.45,6.6,9.45,3.75,main meal
Tomato peanut chutney,2 tbsp,30,1.8,1,2.4,0.8,sub meal
Paneer bhurji dosa,1 dosa,369,43,13.3,16.2,5.6,sub meal
Buttermilk,1 glass,45,2.3,2.3,3,0,other meal
Paneer Burji,1 Small,209,3.2,11.7,16.6,0.7,main meal
Dahi,1 katori,90,4.5,4.7,6,0,sub meal
Peas poha,1 katori,140,27.9,3,2,1.1,main meal
Egg Omelette,2 Piece,208,5,12,16.2,0.8,sub meal
Paneer Paratha,2 Piece,448,48.2,18.4,21.8,7.6,main meal
Boiled Egg,2 Egg,172,2,13.2,13.2,0,sub meal
Wheat Roti,2 roti,170,34.8,6,0.8,5.4,main meal
Oats rava idli,4 piece,296,46,9.6,8.4,4,main meal
Chana Soyabean Bhaji,1 Katori,141,11.5,8.3,7.2,2.4,sub meal
Coconut Chutney,4 Teaspoon,68,2.8,0.8,6,2,sub meal
Poha,1 Katori,130,26.7,2.6,1.5,0.9,main meal
Besan chilla,2 chilla,216,21.6,8,10.6,4.6,main meal
Muesli,1 serving,102,23.3,2.9,1.5,2.2,main meal
Oats vegetable chilla,2 chilla,194,17.8,4.6,11.6,3.6,main meal
Channa Masala,1 Katori,130,20.5,5.6,3.1,5.5,sub meal
Rava idli,2 rava,168,27.2,5.2,4.4,2.2,main meal
Vermicelli upma,1 katori,101,16.7,2.3,2.8,1.3,main meal
Stuffed Vegetable Paratha,2 Piece,242,32.8,5.8,10,6.8,main meal
Tomato Besan Omelette,2 Piece,216,21.6,8,10.6,4.6,main meal
Methi paneer paratha,1 pieces,138,13.3,4.6,7.5,2.1,main meal
Vegetable dalia,1.5 katori,124.5,23.1,4.05,2.4,6,
Gobi matar paratha,1 piece,147,20.7,4.6,5.1,4.6,
Ragi Dosa,1 Dosa,102,21.6,2.2,0.7,2.2,
Egg sandwich,1 sandwich,280,41.5,13,7.4,7.8,
Egg bhurji,1 one,152,4.8,7.6,11.9,1.3,
Paneer sandwich,1 sandwich,364,39.7,11.2,18,2.3,
Chana masala,1 katori,188,20.3,5.7,9.8,5.2,
Spinach dosa,2 medium,366,49.6,11.6,13.4,8.8,
Cow milk,1 glass,168,11,8,10.3,0,
Brinjal sambhar,1 katori,117,15.9,5.5,3.5,3.2,
Tomato chutney,2 tbsp,20,2,0.4,1.2,1,
Green Gram Idli,3 Piece,234,33.3,14.1,5.4,9.9,
Dosa,1 dosa,115,19.7,3.2,2.6,0,
Idli,3 idli,234,45.3,7.5,2.7,0,
Chapati,1 Piece,85,17.4,3,0.4,2.7,
Beans palya,1 katori,82,7.7,2.6,4.6,3.8,
Skim milk,1 teacup,52,8.3,4.5,0.2,0,
Onion Rava Dosa,1 Dosa,128,24,2.4,2.3,1.2,
Dhaniya pudina chutney,2 tbsp,10,1.6,0.6,0.2,1,
Oats soya chilla,2 chilla,218,20.6,13.8,9,4,
Plain oats,1 serving,112,18.9,4.1,2.3,3.3,
Drumstick sambhar,1 katori,93,11,4.2,3.6,2.3,
Pesarattu dosa,1 medium,154,18.5,7.9,5.5,5.5,
Homemade idli,3 small,117,22.8,3.9,1.2,1.5,
Poha Tarri,1 Plate,230,22.3,5.5,13.5,9.6,
Methi palak paratha,1 pieces,137,14.5,2.8,7.6,2.5,
Uncooked Paneer,0.5 cup,151.5,149.5,0.7,10.35,11.75,
Almonds,4 almond,28,1.2,1.2,2.4,0.8,
Masooor Bhaji,1 Katori,189,24.7,8.5,6.4,5.6,
Roasted chana dal chutney,2 tbsp,108,8.2,2.8,7.2,1.8,
Rasam,1 Katori,65,9.2,3.5,1.6,0.9,
Aloo matar sabzi,1 katori,129,20,4,3.8,5.1,
Whole wheat bread,2 slice,156,28.8,4,2,2.4,
Boiled soya chunks,1 katori,47,4.5,7.1,0.1,1.8,
Epigamia plain yoghurt,1 pack,69,5.6,7.2,2,0,
Pudina chutney,2 tbsp,14,2.6,0.6,0,1,
Thalipeeth,1 thalipeeth,84,13.5,2.6,2.2,3.2,
Moong beans boiled,1 katori,138,23.4,9.9,0.5,6.9,
Chia seeds,1 tbsp,47,4.1,1.6,3,3.3,
Ragi with buttermilk,1 glass,71,14.3,1.8,0.8,2.3,
Egg white,boiled,2 piece,34,0.4,7.2,0.4,
Apple,1 piece,,88,20,0.3,0.8,
Peanut butter crunchy,1 tbsp,100,3,4,8,1,
Carrot cucumber salad,1 katori,21,4.9,0.7,0.1,1.1,
Ragi/nachni roti,2 roti,174,38.4,4,0.8,6.2,
Tomato cucumber raita,1 katori,51,5.5,2.5,2.4,1.1,
Grilled paneer,0.5 serving,143.5,0.9,8.45,11.85,0.25,
Gobi matar sabzi,1 katori,82,7,2.7,5,3.4,
Soya chunk pulao,2 katori,296,47.2,12.4,6,4.8,
Palak Bhaji / Sabji,1 Katori,93,7.4,2,6.4,2.3,
Daal,1 bowl,116,18.7,7.2,1.4,3.1,
Plain Rice,1 Katori,120,26.7,2.6,0.3,0.5,
Gavar sabzi,1 katori,65,4.7,2.6,3.8,3.6,
Jowar roti,2 piece,166,35.6,3.6,1.6,3,
Peas Pulao,1 Katori,134,26.1,4.2,1.5,2.6,
Lauki sabzi,1 katori,50,3.7,0.7,3.7,2.5,
Paneer Pulao,2 Katori,272,39,13.8,13.8,0.6,
Mix daal,1 katori,149,22.4,8.7,2.9,6,
Carrot tomato salad,1 katori,27,5.4,0.9,0.2,2.5,
Green Peas Potato Pulao,1 Katori,136,25.6,3.3,2.3,1.7,
Green salad,1 katori,60,2.8,1.4,4.8,1.7,
Veg Fried Rice,1 Katori,137,21.6,2.7,4.4,0.6,
Bajra roti,2 piece,226,38.2,6.6,5.2,6.4,
Chicken curry,1 katori,163,4.6,17.9,7.7,1.7,
Tomato Rice,1 Piece,112,19,2.8,2.8,1.9,
Egg fried rice,1.5 katori,225,27.75,6.45,10.35,1.65,
Grilled Paneer Tikka,2 Piece,160,5.4,8.4,11.6,1.2,
Lauki raita,1 katori,68,4.4,3.4,4.2,0.9,
Chana curry,1 katori,118,15.9,4.3,4.2,6.8,
Brown rice,1 katori,109,22.8,2.4,0.9,1,
Vegetable soybean stew,1 katori,232,25.9,9.7,10.1,7.8,
Multi grain roti,2 roti,164,31.8,6.2,1.4,6,
Bhindi Sabzi,1 Katori,68,7.1,1.8,3.7,3.1,
Lemon rice,1 katori,168,30.1,3.9,3.6,1.8,
Drumstick rasam,1 katori,122,20.6,1.9,3.9,1.6,
Egg curry,1.5 katori,177,11.1,9,11.1,4.8,
Chicken biryani,1.5 katori,234,24.6,16.05,8.1,2.1,
Curd Rice,1.5 Small,201,31.8,5.55,5.7,0.9,
Soyabean Curry,1 Katori,120,7.3,8.8,6.2,5.3,
Egg dosa,2 katori,626,69.2,22.8,29.6,5.4,
Fish Curry,1 Katori,116,2.4,15.5,4.9,0.2,
Cabbage sabzi,1 katori,62,4.7,1.5,4.2,2.6,
Sprouts curry,1 katori,104,14.3,4.6,4.1,2.5,
Dal Khichadi,2 Bowl,346,57.2,13.2,7.2,7,
Paneer capsicum sabzi,1.5 katori,198,7.8,9,14.85,2.85,
Methi Bhaji,1 Katori,114,12.1,3.8,5.7,4.2,
Chana palak curry,1 katori,129,17.2,4.9,4.8,4.9,
Baigan Sabzi,1 Katori,115,6.6,2.2,8.8,3.1,
Grilled Chicken,1 Piece,214,1.3,28.4,9.8,0.2,
Capsicum lettuce salad,1 katori,49,3.7,1.1,3.7,1.9,
Bajri Bhakri,2 Piece,226,42,7.2,3.2,7,
Dahi Bhaat,1.5 Katori,201,31.8,5.55,5.7,0.9,
Akki roti,2 pieces,324,53.6,4.4,9.8,2.8,
Roasted chicken,0.5 chicken,107,0.65,14.2,4.9,0.1,
Lobia sabzi,1 katori,114,16,6.7,2.7,2.4,
Coconut chickpea curry,1 katori,169,18.1,5.2,8.7,8.3,
Kheera tamatar salad,1 katori,15,3.2,0.6,0.1,0.9,
Makke Ki Roti,1 Piece,196,32.1,2.9,6.7,3,
Sarso Ka Saag,1 Katori,64,6.3,2.8,3.2,2.9,
Tofu,1 serving,144,2.8,17.3,8.7,2.3,
Rajma chhole moong sprout salad,1.5 katori,88.5,17.1,4.2,1.05,4.2,
Coconut rice,1 katori,207,25,3.7,10.2,2.4,
Dal palak,1 katori,118,15,6,3.8,2.8,
Lobia salad,1 katori,63,9.2,3.2,1.7,1.4,
Aloo methi sabzi,1 katori,113,16.3,2.4,4.3,2.7,
Kakadichi Koshimbir,1 Katori,52,4.4,2.4,2.9,0.5,
Jowar Bhakri,3 Piece,249,53.4,5.4,2.4,4.5,
Veg Clear Soup,1 Bowl,44,4.9,2.1,0.4,1.5,
Bhopla bhaji,1 katori,62,6.7,1.4,3.5,1.2,
Buttermilk with flaxseed powder,1 glass,55,2.2,2.6,4.2,0.9,
Egg biryani,1.5 katori,210,31.8,6.3,6,1.35,
Beetroot Koshimbir,1 Katori,48,3.9,1.1,3.1,1.9,
Peas Bhaji,1 Katori,88,8,2.7,5.1,4.3,
Bean salad,1 katori,55,7.4,1.9,2,2.1,
Nachni roti,2 pieces,174,38.4,4,0.8,6.2,
Stuffed/bharwan karela,2 pieces,130,6.6,2.2,10.8,5,
Matki Bhaji,1 Katori,85,13.8,3.7,2.6,1.1,
Curd,4 tbsp,36,2,2,2.4,0,
Nachni Bhakri,2 Piece,250,28.8,3,13.8,4.8,
Besan roti,2 pieces,266,30.6,7.2,12.8,5.2,
Chhole,1 katori,154,21,6.4,5.4,5.8,
Palak paneer,1.5 Small,265.5,9.15,9,21.45,3.15,
Chavli Bhaji,1 Katori,88,8.4,2.3,5.1,3.2,
Mix Veg Bhaji,1 Small,94,14.2,2.3,3.3,4,
Matar Paneer,1.5 Small,205.5,16.5,9.3,11.7,6.9,
Clear Vegetable Soup,1 Bowl,44,4.9,2.1,0.4,1.5,
