Item,Serving,Calories,Carbs,Protein,Fat,Fiber
Upma,1.5 katori,256.5,36.45,6.6,9.45,3.75
Tomato peanut chutney,2 tbsp,30.0,1.8,1.0,2.4,0.8
Paneer bhurji dosa,1 dosa,369.0,43.0,13.3,16.2,5.6
Buttermilk,1 glass,45.0,2.3,2.3,3.0,0.0
Paneer Burji,1 Small,209.0,3.2,11.7,16.6,0.7
Dahi,1 katori,90.0,4.5,4.7,6.0,0.0
Peas poha,1 katori,140.0,27.9,3.0,2.0,1.1
Upma,1 katori,171.0,24.3,4.4,6.3,2.5
Egg Omelette,2 Piece,208.0,5.0,12.0,16.2,0.8
Paneer Paratha,2 Piece,448.0,48.2,18.4,21.8,7.6
Boiled Egg,2 Egg,172.0,2.0,13.2,13.2,0.0
Wheat Roti,2 roti,170.0,34.8,6.0,0.8,5.4
Boiled Egg,1 Egg,86.0,1.0,6.6,6.6,0.0
Upma,1 katori,171.0,24.3,4.4,6.3,2.5
Oats rava idli,4 piece,296.0,46.0,9.6,8.4,4.0
Chana Soyabean Bhaji,1 Katori,141.0,11.5,8.3,7.2,2.4
Dahi,0.5 katori,45.0,2.25,2.35,3.0,0.0
Peas poha,1 katori,140.0,27.9,3.0,2.0,1.1
Paneer Paratha,1 Piece,224.0,24.1,9.2,10.9,3.8
Upma,1 katori,171.0,24.3,4.4,6.3,2.5
Upma,2 katori,342.0,48.6,8.8,12.6,5.0
Peas poha,2 katori,280.0,55.8,6.0,4.0,2.2
Coconut Chutney,4 Teaspoon,68.0,2.8,0.8,6.0,2.0
Dahi,1 katori,90.0,4.5,4.7,6.0,0.0
Wheat Roti,2 roti,170.0,34.8,6.0,0.8,5.4
Dahi,1 katori,90.0,4.5,4.7,6.0,0.0
Peas poha,2 katori,280.0,55.8,6.0,4.0,2.2
Upma,2 katori,342.0,48.6,8.8,12.6,5.0
Boiled Egg,1 Egg,86.0,1.0,6.6,6.6,0.0
Boiled Egg,1 Egg,86.0,1.0,6.6,6.6,0.0
Oats rava idli,4 piece,296.0,46.0,9.6,8.4,4.0
Chana Soyabean Bhaji,1 Katori,141.0,11.5,8.3,7.2,2.4
Wheat Roti,1 roti,85.0,17.4,3.0,0.4,2.7
Poha,1 Katori,130.0,26.7,2.6,1.5,0.9
Besan chilla,2 chilla,216.0,21.6,8.0,10.6,4.6
Muesli,1 serving,102.0,23.3,2.9,1.5,2.2
Upma,2 katori,342.0,48.6,8.8,12.6,5.0
Peas poha,2 katori,280.0,55.8,6.0,4.0,2.2
Coconut Chutney,4 Teaspoon,68.0,2.8,0.8,6.0,2.0
Dahi,1 katori,90.0,4.5,4.7,6.0,0.0
Upma,1.5 katori,256.5,36.45,6.6,9.45,3.75
Peas poha,2 katori,280.0,55.8,6.0,4.0,2.2
Coconut Chutney,4 Teaspoon,68.0,2.8,0.8,6.0,2.0
Dahi,1 katori,90.0,4.5,4.7,6.0,0.0
Oats vegetable chilla,2 chilla,194.0,17.8,4.6,11.6,3.6
Peas poha,1 katori,140.0,27.9,3.0,2.0,1.1
Paneer Paratha,1 Piece,224.0,24.1,9.2,10.9,3.8
Upma,1 katori,171.0,24.3,4.4,6.3,2.5
Channa Masala,1 Katori,130.0,20.5,5.6,3.1,5.5
Tomato peanut chutney,2 tbsp,30.0,1.8,1.0,2.4,0.8
Rava idli,2 rava,168.0,27.2,5.2,4.4,2.2
Vermicelli upma,1 katori,101.0,16.7,2.3,2.8,1.3
Oats vegetable chilla,2 chilla,194.0,17.8,4.6,11.6,3.6
Peas poha,1 katori,140.0,27.9,3.0,2.0,1.1
Paneer Paratha,1 Piece,224.0,24.1,9.2,10.9,3.8
Upma,1 katori,171.0,24.3,4.4,6.3,2.5
Upma,2 katori,342.0,48.6,8.8,12.6,5.0
Peas poha,2 katori,280.0,55.8,6.0,4.0,2.2
Coconut Chutney,4 Teaspoon,68.0,2.8,0.8,6.0,2.0
Dahi,1 katori,90.0,4.5,4.7,6.0,0.0
Stuffed Vegetable Paratha,2 Piece,242.0,32.8,5.8,10.0,6.8
Tomato Besan Omelette,2 Piece,216.0,21.6,8.0,10.6,4.6
Methi paneer paratha,1 pieces,138.0,13.3,4.6,7.5,2.1
Upma,1 katori,171.0,24.3,4.4,6.3,2.5
Boiled Egg,1 Egg,86.0,1.0,6.6,6.6,0.0
Upma,1 katori,171.0,24.3,4.4,6.3,2.5
Oats rava idli,4 piece,296.0,46.0,9.6,8.4,4.0
Chana Soyabean Bhaji,1 Katori,141.0,11.5,8.3,7.2,2.4
Egg Omelette,2 Piece,208.0,5.0,12.0,16.2,0.8
Boiled Egg,1 Egg,86.0,1.0,6.6,6.6,0.0
Vegetable dalia,1.5 katori,124.5,23.1,4.05,2.4,6.0
Gobi matar paratha,1 piece,147.0,20.7,4.6,5.1,4.6
Boiled Egg,1 Egg,86.0,1.0,6.6,6.6,0.0
Upma,2 katori,342.0,48.6,8.8,12.6,5.0
Oats rava idli,4 piece,296.0,46.0,9.6,8.4,4.0
Chana Soyabean Bhaji,1 Katori,141.0,11.5,8.3,7.2,2.4
Boiled Egg,1 Egg,86.0,1.0,6.6,6.6,0.0
Upma,1 katori,171.0,24.3,4.4,6.3,2.5
Oats rava idli,4 piece,296.0,46.0,9.6,8.4,4.0
Chana Soyabean Bhaji,1 Katori,141.0,11.5,8.3,7.2,2.4
Egg Omelette,2 Piece,208.0,5.0,12.0,16.2,0.8
Dahi,1 katori,90.0,4.5,4.7,6.0,0.0
Boiled Egg,2 Egg,172.0,2.0,13.2,13.2,0.0
Wheat Roti,2 roti,170.0,34.8,6.0,0.8,5.4
Upma,2 katori,342.0,48.6,8.8,12.6,5.0
Tomato peanut chutney,2 tbsp,30.0,1.8,1.0,2.4,0.8
Paneer bhurji dosa,1 dosa,369.0,43.0,13.3,16.2,5.6
Buttermilk,1 glass,45.0,2.3,2.3,3.0,0.0
Egg Omelette,2 Piece,208.0,5.0,12.0,16.2,0.8
Paneer Paratha,2 Piece,448.0,48.2,18.4,21.8,7.6
Boiled Egg,2 Egg,172.0,2.0,13.2,13.2,0.0
Wheat Roti,2 roti,170.0,34.8,6.0,0.8,5.4
Ragi Dosa,1 Dosa,102.0,21.6,2.2,0.7,2.2
Egg sandwich,1 sandwich,280.0,41.5,13.0,7.4,7.8
Tomato peanut chutney,2 tbsp,30.0,1.8,1.0,2.4,0.8
Egg bhurji,1 one,152.0,4.8,7.6,11.9,1.3
Paneer sandwich,1 sandwich,364.0,39.7,11.2,18.0,2.3
Poha,2 Katori,260.0,53.4,5.2,3.0,1.8
Coconut Chutney,4 Teaspoon,68.0,2.8,0.8,6.0,2.0
Dahi,1 katori,90.0,4.5,4.7,6.0,0.0
Upma,2 katori,342.0,48.6,8.8,12.6,5.0
Peas poha,2 katori,280.0,55.8,6.0,4.0,2.2
Coconut Chutney,4 Teaspoon,68.0,2.8,0.8,6.0,2.0
Dahi,1 katori,90.0,4.5,4.7,6.0,0.0
